"CUSTOMERNUMBER","CHECKNUMBER","PAYMENTDATE","AMOUNT"
599,"KS8256780151",29.02.2008,527,72
518,"KQ9835566165",17.11.2006,735,62
887,"HH1298110875",23.02.2007,405,13
1150,"HQ0389013174",24.07.2006,858,15
782,"TZ5168333622",24.05.2007,997
1206,"NS3270518007",26.01.2006,692,59
742,"HU3904265533",02.01.2006,773,72
838,"MQ2644524528",17.08.2006,492,46
1292,"HY9415103932",17.01.2006,276,73
877,"RE7749257217",03.10.2006,272
904,"QQ1467128843",02.02.2006,618,68
1231,"WP1056789757",23.07.2007,894,53
804,"VC8067401306",20.04.2006,758,03
881,"YQ5193834405",15.07.2006,910,86
1274,"OW9888664778",04.01.2008,956,29
890,"CE9820986703",04.05.2008,802,06
1082,"FK5250518793",30.06.2006,209,33
652,"DM7070195638",09.07.2007,986,53
713,"VP8370719849",28.08.2007,581,03
999,"UP3907083614",30.09.2008,785,18
854,"CP3375272372",17.10.2006,913,93
728,"AV1421968606",31.07.2008,755,22
549,"KP3948232894",06.04.2007,389,73
595,"JT9117734562",08.04.2007,251,33
835,"FK0774013563",12.10.2006,921,98
1109,"VL0857129758",29.04.2006,400,89
966,"GN8822477744",11.02.2008,425,76
900,"XU1526118042",17.01.2007,941,18
583,"TO2506195971",29.01.2006,677,27
669,"BI3577875095",20.05.2007,206,88
1132,"VZ3999512179",10.11.2006,205,03
1189,"CI2869897986",29.12.2008,429,11
793,"TV3941818632",08.11.2007,882,82
618,"BR7637377356",06.07.2007,862,48
783,"UA5742837066",02.03.2006,286,47
909,"KY7135328851",24.09.2007,939,11
1082,"EK7099937728",25.10.2007,467,27
1093,"LS6983363305",23.08.2007,517,53
810,"YT5956332376",26.03.2006,849,68
722,"GH2858397091",30.12.2006,590,65
1117,"JO7599083111",29.01.2006,514,2
1205,"HO6566294698",13.10.2008,596,53
1193,"BZ8441036745",24.04.2007,442,13
871,"FV4142116913",24.10.2008,785,07
993,"PL0714702278",20.12.2007,217,67
919,"MT9565668682",03.07.2006,586,14
584,"RH2158752910",07.05.2006,658,06
1121,"DH2553956400",07.06.2006,446,5
1129,"MB0354591937",01.09.2007,725,62
1140,"TJ3062807061",02.05.2006,607,29
590,"ZA0297317480",09.05.2007,312,46
1241,"GY7590170076",31.10.2008,828,75
1196,"ZG5795397178",19.04.2006,934,46
1191,"KW7909005583",15.05.2007,385,27
975,"FO4355994811",26.01.2006,471,5
789,"YS7488574675",01.06.2008,801,51
1110,"TW8154786018",08.10.2008,696,62
598,"LF7880444125",17.11.2006,229,78
644,"TR9959764835",19.02.2006,303,05
523,"WM3875617200",23.01.2008,327,57
873,"DP5389784306",29.07.2007,703,93
1250,"SN4500625536",07.09.2007,237,74
1065,"NG2487930507",24.09.2007,708,72
897,"ZK0509153604",14.09.2008,444,11
865,"SI7797414908",14.04.2007,509,51
961,"UO9573597183",02.09.2007,531,22
1299,"CQ9693594227",12.06.2006,900,84
575,"IO9058586863",04.03.2006,260,58
921,"ES0192602549",20.06.2006,350,15
504,"ZZ9870740517",21.08.2008,743,11
1004,"CW5826628216",12.11.2007,486,23
583,"JL9798913020",28.10.2007,485,1
854,"PG9790322982",27.04.2007,632,14
1278,"VV0148141739",29.05.2007,362,79
1042,"PI4792711505",31.01.2007,619,47
728,"HA2037675265",04.05.2008,792,65
1198,"LM0853676413",12.02.2007,342,95
1206,"KR9394108634",26.10.2007,954,44
867,"KZ9570275340",25.02.2006,388,5
670,"IR3824703806",22.08.2008,946,92
1058,"MT7272615814",22.05.2007,650,84
1156,"AR5859000816",09.02.2006,260,96
1147,"VK3529275039",03.03.2008,794,34
560,"JH4364392406",15.10.2006,588,63
853,"MV2119229627",22.05.2008,955,75
1191,"XL4710727692",12.10.2007,404,69
1127,"AL0778370181",18.07.2008,888,28
792,"EA8299413666",19.05.2007,802,7
555,"YA3448539996",31.03.2008,453,13
789,"LC1770735749",29.11.2008,599,2
1207,"EC3106273498",08.08.2007,428,23
1066,"ZP9497927857",01.10.2006,377,12
1286,"NZ3629524621",08.11.2008,873,45
563,"OJ5266469761",02.08.2007,983,15
544,"XT0209492972",29.07.2006,417,15
729,"OR8208091450",16.01.2008,665,18
1162,"WH8314941428",15.06.2007,660,54
1300,"WG7999090210",27.10.2006,389,56
664,"TA5056622123",11.09.2006,286,35
1124,"SN8696688747",19.11.2006,364,76
1156,"GB9254848031",26.05.2007,650,01
559,"BW7625341380",31.03.2007,662,43
771,"BI9074920928",05.11.2007,285,41
817,"RA9755223160",24.04.2006,925,85
652,"LR4790831287",02.08.2007,711,49
667,"AK7742175958",14.05.2006,734,06
1118,"ST0529155627",16.01.2007,241,85
959,"LZ3489988429",16.02.2006,300,24
1100,"UH2547437781",21.07.2008,616,41
650,"ZD1875316601",18.02.2007,674,54
1218,"ID3743599655",21.09.2006,452,76
634,"QP4392094641",08.11.2008,944,12
1118,"TK9855991340",05.03.2008,994,02
1064,"SH6939111155",31.03.2006,926,5
784,"RO4880898933",17.07.2007,271,03
510,"ZI9441840068",24.12.2006,588,33
570,"CY5997327097",11.07.2008,438,48
543,"PU7733192344",22.04.2008,537,78
1093,"YA3511285727",20.03.2006,548,46
872,"QI8723305773",04.02.2007,886,21
501,"OR3657150072",21.04.2008,228,73
794,"JP5276784850",08.11.2007,803,82
629,"YC9228223983",08.08.2007,298,67
1276,"AW4994370254",24.03.2006,454,03
543,"RP8754918140",20.11.2006,324,66
1214,"IV4574272044",15.10.2007,933,15
968,"TK1704713661",08.01.2007,541,67
627,"TJ9508387661",20.05.2007,614,32
1284,"GA9426854361",28.11.2007,901,28
1070,"EZ2972622857",13.10.2008,547,75
667,"KO3828394283",21.07.2007,493,37
1128,"AR7537373508",09.02.2006,356,48
1080,"LC4817106242",16.12.2007,683,8
1225,"MC0185440432",02.10.2006,831,02
667,"HX3164035528",12.10.2008,261,76
676,"BA1241443508",23.08.2006,425,61
1078,"KI1217799278",01.10.2007,345,74
1176,"TI4259721874",07.04.2006,336,33
1218,"JG0082320173",30.03.2006,412,83
835,"LV6559121028",29.11.2006,653,15
814,"EB7444055490",22.11.2008,233,12
514,"UU1012812764",16.09.2007,867,55
595,"YY5956423249",11.07.2008,968,51
1226,"LU7165950184",12.06.2006,441,34
651,"IG5821811383",06.02.2008,276,83
506,"KF0019759180",30.06.2007,645,52
1258,"AS2885595337",23.10.2007,999,13
835,"QN9945662178",04.01.2008,513,9
763,"BW9203270663",14.06.2007,555,71
501,"NQ2217464907",21.07.2006,971,37
732,"LP0752820936",10.04.2008,972,73
977,"ZL4911070930",29.06.2008,245,95
1170,"FJ1906336243",24.08.2006,713,89
761,"AI8806023577",29.05.2007,718,06
920,"GJ7452370877",13.01.2007,545,7
1143,"BA0141668925",14.05.2007,991,61
517,"EB3147547954",17.08.2008,719,35
885,"OC6092417644",15.06.2007,756,2
815,"KX9687773836",28.08.2008,902,28
1156,"TK0599997231",14.10.2007,391,34
669,"EI8165996992",04.02.2006,268,41
988,"IP3462773309",15.12.2006,495,41
1002,"WU6252568791",08.05.2007,995,89
690,"GR6007808360",05.05.2008,693,2
525,"AW2966930083",10.08.2006,647,61
861,"YX7846021010",13.02.2006,769,52
1251,"UW2869946868",02.02.2006,304,11
607,"NF9582101306",01.04.2008,596,77
772,"WV4485478386",03.03.2007,203,86
792,"VO2163940065",12.11.2008,528,06
551,"AX6129658631",15.03.2008,281,21
568,"YG9893812614",22.02.2008,862,51
832,"GJ0690052558",06.03.2008,238,53
634,"DK9328781501",16.10.2006,706,03
707,"ZI9420456711",26.11.2006,289,18
1180,"LS4629536267",12.02.2008,498
868,"OK6251698605",04.03.2006,715,35
1087,"XS9664231505",27.02.2008,504,18
1097,"QO2568690143",23.04.2006,347,79
1156,"FA2501326020",06.03.2008,335,12
901,"DH0524848034",15.06.2006,643,84
1114,"PD3265630789",23.08.2006,691,66
1127,"EY0292066074",26.12.2008,466,9
805,"NE8416427036",16.03.2008,711,47
1064,"AN4286315134",09.07.2007,600,88
873,"RI9455046817",29.03.2007,744,12
1049,"AA5531536499",10.09.2007,923,23
656,"ZV5583930028",19.02.2008,968,14
679,"UD3943275595",24.10.2008,253,38
981,"CD2284737278",19.06.2008,829,16
640,"RH7640982709",25.10.2007,844,34
1086,"QS9799084356",01.01.2007,676,2
867,"GG2188993372",28.03.2007,743,91
509,"TL2832934891",09.11.2008,652,18
687,"WK2881298331",12.10.2008,661,8
1041,"UW1556227626",30.01.2006,304,73
676,"GA3757845607",26.06.2008,402,56
1077,"CE3334924273",02.05.2007,974,66
550,"ID7987224785",16.05.2008,596,68
786,"ZS7189640696",12.03.2007,842,73
621,"WA2998668157",07.02.2008,446,41
792,"OU1097268615",13.12.2006,217,98
679,"MA9878505517",11.09.2007,339,55
501,"GK0854534239",28.12.2006,487,65
552,"HJ8522572547",23.10.2008,730,46
892,"XA4712730529",25.02.2008,364,24
822,"XR2405259969",20.04.2007,487,29
964,"WK1571419402",13.09.2006,312,31
873,"OO1140998497",15.07.2006,211,49
1200,"AF1793015202",11.06.2008,568,06
1118,"RD9035064732",11.09.2006,899,76
1193,"VH4805061037",26.09.2006,623,73
919,"CX3591817749",11.03.2007,987,53
1293,"DK4520834417",18.03.2008,290,38
880,"YW8681663513",07.03.2008,938,23
1269,"FW8927035832",07.02.2007,325,75
528,"WR9005826699",10.02.2008,576,3
815,"CG2460691604",06.01.2008,367,63
763,"NG3420702947",03.11.2008,348,45
634,"LH3766298107",28.06.2008,597,75
555,"XK7677760960",21.09.2007,493,44
544,"AY2924043848",21.08.2007,228,7
893,"VR3813776791",22.01.2007,550,62
826,"KA2169851854",14.07.2006,802,73
513,"KF6816793609",24.10.2008,994,89
1100,"PG0264444307",25.09.2008,871,82
1184,"VE1884908993",10.11.2008,699,26
1128,"IE1377897722",29.07.2008,336,52
523,"YY3329079290",15.07.2008,844,72
1088,"BR9380291505",10.10.2008,214,42
701,"IV9401632981",07.02.2008,674,67
582,"BK9624859593",25.12.2006,330,8
866,"EI3438972693",15.12.2007,371,02
538,"UN2451270368",20.09.2007,427,6
873,"LI0478017657",19.02.2008,969,16
593,"RR2323241140",03.10.2008,922,88
1078,"AS0393716028",19.10.2008,672,88
920,"IS8158111426",19.07.2007,668,92
1193,"FZ7428490256",05.07.2006,830,3
834,"XW3349749388",26.01.2006,404,23
709,"OD8496883326",07.10.2007,840,7
799,"MD4721136496",28.08.2006,824,93
583,"PZ4096361439",11.12.2008,223,62
796,"XF1859852003",14.12.2006,360,04
741,"YI1105033232",04.06.2008,851,96
917,"HC6204498309",10.09.2006,476,41
834,"MN9993518389",14.07.2007,977,28
993,"RV1933863534",22.03.2006,313,38
1097,"DI2007756229",15.09.2008,405,5
838,"LP1348866689",22.04.2008,698,76
514,"PP5038596083",15.11.2008,271,76
517,"DO0417421496",31.05.2008,785,18
684,"UU7912087421",14.06.2006,956,47
512,"JM5461172374",02.01.2006,510,29
1092,"QD4962343852",01.10.2006,235,64
1097,"GO9321857306",24.04.2008,283,55
1041,"KZ0137904067",15.06.2006,814,84
634,"ZI3832859770",10.12.2007,780,23
1254,"YH1949982672",23.05.2007,811,9
1277,"UA3553809734",27.04.2006,733,97
1162,"ZA7754705313",13.02.2007,569,2
538,"QJ0039965001",17.06.2008,609,88
867,"JL9801122115",30.06.2006,855,74
784,"LI8400329801",27.09.2007,864,1
1161,"BE5697715994",17.07.2008,299,26
781,"IC1094007247",05.09.2006,998,43
701,"PI1639528236",15.08.2006,626,87
732,"CV4727119094",19.10.2006,454,35
785,"WW6519594886",25.08.2006,638,92
1117,"RK2219221082",30.04.2006,406,96
1143,"OV3310314204",22.06.2008,639,04
1254,"KB0228778949",25.11.2007,967,61
1162,"LA5420088526",04.10.2007,752,81
719,"FW1295725949",26.10.2007,631,96
1251,"QM4156173516",04.05.2006,829,09
701,"SC9760422601",05.06.2008,270,68
1230,"XT8196852471",03.09.2008,888,35
1162,"LL6499287523",22.02.2007,802,23
920,"RI7086292521",04.08.2006,207,98
782,"QC2739521610",04.03.2006,958,81
895,"OK1677642187",27.02.2008,566,29
1136,"OZ9846580121",22.01.2008,710,35
594,"GB5466841380",06.02.2008,556,14
1110,"OM2900621592",16.02.2008,797,75
638,"QU4754481173",24.05.2008,471,92
722,"CE6148714401",19.09.2006,492,06
792,"GI3518569539",04.12.2006,326,43
1106,"GQ6856375898",08.04.2006,393,68
993,"WZ5258733384",25.10.2007,309,69
917,"ES4543343062",09.09.2007,665,78
866,"BX2856736379",06.08.2007,315,88
566,"LB5907191214",09.07.2006,205,08
797,"JR3020211146",22.05.2008,283,48
618,"CB1535057388",03.01.2008,344,83
1000,"BQ9148146315",06.12.2008,470,1
1044,"IC6373055340",24.01.2006,808,44
698,"GI2078809951",26.03.2007,465,19
640,"MA4817670249",12.09.2006,434,58
1101,"SW3190346781",03.03.2008,981,83
1082,"DM6830349892",14.09.2006,530,51
923,"AU0541913262",22.02.2006,514,22
854,"DO8841560815",12.12.2007,427,63
899,"AO8195093398",26.10.2007,246,81
1153,"HC9749834837",08.11.2008,758,88
781,"DV8437822745",14.06.2007,809,97
1020,"HO8589371547",29.10.2007,808,74
1187,"QA9148475640",21.07.2007,838,64
560,"XN9952921248",01.07.2006,644,78
1252,"HH8737633032",28.03.2007,660,5
1164,"GL1854585780",29.03.2006,882,8
693,"ET3575578861",31.01.2006,466,65
653,"GJ6166058791",20.01.2007,709,1
847,"HY9970779208",06.11.2006,649,02
782,"WH2722315161",22.07.2008,437,63
973,"NW5095565585",28.09.2008,277,15
854,"WX0254581364",01.02.2008,665,26
648,"CJ3460451495",31.03.2007,381,61
1002,"CY1756413927",16.01.2006,254,58
1120,"DP3456309212",16.04.2007,662,54
962,"OQ5233192298",19.04.2007,970,73
1118,"MM0289974496",12.08.2008,697,84
895,"PD9440345435",19.01.2006,679,33
1240,"OZ2843345985",16.02.2007,539,74
1136,"TH8292768952",17.02.2006,220,16
1247,"KH6904406155",20.04.2008,407,55
955,"CQ6855518506",19.08.2006,865,37
883,"RH5939762578",26.12.2006,260,39
1100,"LY5782777094",19.01.2007,692,03
810,"XS9702839227",07.12.2008,215,44
695,"HY9937705287",30.12.2008,702,43
728,"PH4930236492",24.09.2007,515,86
862,"CZ1283925805",17.04.2008,962,4
981,"KZ2670540869",18.05.2007,296,91
1155,"SA0139630253",22.12.2008,442,74
661,"YZ5894710500",30.10.2007,999,31
675,"LC8854281317",04.08.2006,296,85
920,"NW3277927871",30.10.2007,586,91
540,"AA8518580476",06.06.2008,437,43
1000,"AS5851428718",13.09.2006,387,14
1162,"IK8244074940",24.03.2007,534,06
684,"UE6543675011",21.03.2007,244,67
583,"UG5913176835",06.04.2007,395,57
1240,"LK4326102759",28.11.2007,202,32
1274,"GX6467304645",11.06.2008,973,65
1097,"ZJ0520852336",17.09.2006,956,5
648,"KP4721362590",18.06.2006,978,31
708,"MW8480104855",18.12.2008,922,68
816,"CI3054800041",22.12.2008,379,99
688,"SZ3531078600",27.12.2007,539,95
1226,"CE9251208504",08.05.2008,340,89
963,"ZY8105497568",22.03.2007,496,08
534,"JZ7890861653",18.04.2007,414,89
835,"UM1886715794",12.08.2007,310,34
1201,"UZ1510199614",17.12.2006,834,27
796,"IK0396437017",21.01.2007,824,62
809,"KC1344015064",01.11.2006,212,17
1254,"OH5361103439",09.08.2006,273,97
528,"RW5676659239",07.03.2007,480,3
647,"KH0063101073",19.05.2008,781,74
814,"ZP5330718853",10.04.2006,805,57
504,"QR5513506155",09.02.2008,409,04
798,"KW1313676362",02.03.2007,831,04
826,"EE7242906473",28.02.2008,923,1
1214,"DQ1340743776",15.08.2008,723,62
1095,"NK9969192234",25.09.2006,897,6
914,"JE7653841751",03.02.2008,626,62
772,"ZT7278413746",22.06.2008,454,99
775,"UJ1830786386",22.09.2008,262,82
991,"IJ3576873735",05.12.2006,770,79
1028,"ST8616382992",30.03.2008,862,6
724,"VR3770309274",26.04.2007,821,85
762,"CA2252418941",03.06.2006,952,63
1087,"FN7384762160",06.07.2006,229,6
895,"PU8250360436",07.02.2008,680,42
516,"VC6155604285",18.02.2006,876,31
561,"WN5330770171",01.06.2006,524,5
840,"TI2953156860",24.03.2008,904,11
669,"ZC8899845632",13.10.2008,492,74
934,"JB7706797713",31.10.2008,793,33
808,"AE3811148116",21.09.2008,696,68
540,"QR1409473914",28.11.2008,913,82
1206,"TQ1260711014",15.02.2008,956,53
1226,"YA6595742248",08.10.2008,891,53
1025,"WE1261382921",19.02.2006,488,66
1034,"HT2308220687",12.08.2006,990,54
1052,"MK9494870182",16.03.2008,206,53
743,"ZZ1986497341",16.11.2008,924,16
540,"ME9547942745",21.01.2006,776,47
1039,"LD7852923774",04.11.2006,527,72
516,"FL5483268275",04.02.2007,760,71
1226,"GS6255307038",10.01.2007,801,91
633,"TL5352142898",15.10.2007,402,32
629,"OS4762963772",06.10.2006,217,61
1193,"CV0265761719",22.02.2008,911,9
676,"KR9890603608",01.04.2008,710,38
971,"CM2153572593",26.12.2007,350,17
872,"RP2597971909",24.11.2008,939,52
973,"ZS9022812733",28.01.2006,816,09
653,"FZ0375210928",23.05.2006,384,56
953,"HE5997065160",20.11.2008,700,64
1184,"KD8033391086",27.10.2008,761,37
519,"YB2928076602",28.09.2008,891,43
705,"OX7468601980",10.05.2007,702,73
899,"QZ1114664978",12.08.2007,877,19
1209,"NP9669616434",24.10.2006,916,54
614,"LB2823948564",06.04.2007,739,84
1117,"NT0763567050",31.12.2007,562,68
771,"XO2163337927",06.07.2008,296,07
1253,"ES8912765117",08.06.2007,619,67
621,"YJ1943540697",24.11.2008,603,58
1293,"LA2850271433",09.05.2007,602,04
549,"CR3842906633",26.06.2008,732,66
893,"SY0372241739",06.08.2007,782,67
1143,"OP2464697968",13.12.2007,369,67
724,"LZ6344945149",28.08.2007,726,01
559,"EW8731858735",04.09.2007,717,16
559,"NV7541965819",20.06.2007,894,51
1238,"NG5939304894",11.06.2007,934,35
1285,"OJ5660636140",03.07.2008,204,5
878,"GM3089858223",10.12.2008,471,07
600,"ZI4947414983",14.05.2007,726,34
891,"OC2694562164",07.06.2007,940,35
1044,"ZW0382617282",31.12.2006,501,06
1093,"YL4467542170",19.02.2006,897,92
805,"FO0552811083",11.06.2008,325,2
713,"JF1029817027",27.03.2008,499,06
528,"KF9217449095",14.09.2008,796,87
744,"SL0380902533",25.11.2006,340,55
1045,"VO9403319429",07.11.2008,758,28
1117,"FZ9651071671",27.10.2008,510,49
1265,"XO2355028412",17.11.2006,371,33
1161,"WX0178824777",04.09.2007,216,75
1251,"JX0917038310",23.08.2008,270,86
1285,"JU8935936285",01.04.2008,793,55
1107,"JE7592292105",09.03.2008,602,11
742,"OE2051233809",28.01.2007,446,92
990,"ZO7142157484",14.08.2007,719,35
762,"RY1940331454",06.11.2006,438,78
1190,"MI5885589375",03.12.2006,347,78
690,"OC9390824071",11.10.2006,985,29
799,"GR2255024238",26.11.2007,943,45
971,"HZ6096122403",17.07.2007,796,11
867,"CR5578368921",07.06.2008,274,3
1209,"QY7749630730",27.08.2006,367,73
1147,"PV8567258299",03.12.2006,338,39
753,"YU8812926864",13.07.2006,510,78
971,"FV9292743352",10.04.2008,689,04
1293,"PT3672318814",04.10.2007,788
1292,"XA7288793471",30.01.2006,890,64
919,"WA6854128007",05.03.2008,218,79
883,"TD7592551014",10.04.2008,844,13
811,"FJ2686330367",22.05.2007,616,29
871,"FG4174741952",23.04.2007,939,86
1065,"XL8539558740",08.11.2006,315,44
552,"IC7017631083",20.07.2007,671,82
1178,"KB7768121058",06.05.2007,270,72
867,"NJ4576480588",05.04.2006,528,4
1252,"UN2873875936",08.02.2008,208,97
1274,"GP7840801496",27.02.2006,514,37
848,"IE3572778325",17.02.2006,355,83
606,"SV3479242452",15.11.2006,802
565,"RP3994176744",05.05.2006,471,6
1078,"TX2982721559",03.12.2008,211,12
757,"MB2418329899",02.09.2006,779,86
1150,"YC6266187448",27.07.2007,923,87
1278,"TQ7741802710",17.12.2007,701,08
1106,"AI8377959296",12.08.2008,704,84
1100,"WX8392433918",23.10.2008,963,37
942,"AS1929511460",20.03.2006,964,23
1117,"XJ1393446034",31.07.2006,504,64
966,"ND7520887292",26.06.2006,330,53
858,"SP5088773540",20.09.2007,651,75
695,"LS3085195704",02.10.2008,228,39
1173,"QW8424059551",19.10.2006,818,1
980,"SG6142215238",03.12.2008,548,06
1109,"TV1121328984",08.11.2007,244,13
679,"OX8876713933",23.01.2006,685,29
595,"GI0938243409",02.09.2007,572,95
840,"JB9093804024",09.09.2008,882,64
764,"HN6124395071",19.03.2006,551,3
570,"UJ3472449751",26.05.2007,559,93
876,"QZ7375822767",12.10.2007,723,06
847,"WR5362062222",12.12.2007,634,29
600,"EM1936462603",05.01.2007,495,08
1062,"KM8707167842",11.08.2006,950,81
1216,"WB6030672309",20.08.2007,644,58
1060,"RW0443665500",04.02.2006,319,42
980,"JL3839902972",05.12.2007,261,33
759,"AJ7057723955",06.11.2006,536,32
895,"NM1233246346",09.10.2006,920,59
1045,"GC0707471512",27.02.2008,807,04
648,"EI9709196843",02.09.2006,819,51
893,"RN3240647453",13.07.2008,831,34
565,"XS9768530382",27.09.2008,323,76
903,"TD3437242857",05.03.2008,712,18
584,"DD8939597304",10.06.2008,521,45
713,"TY3497203728",24.10.2006,657,73
519,"BX9258872195",01.12.2008,608,64
629,"UZ6025078388",09.11.2007,808,3
1098,"QR1868688795",26.07.2006,890,82
724,"GG8420260173",08.09.2006,290,02
652,"DB5713421685",15.10.2006,927,36
1113,"GK8439226262",10.06.2008,422,36
1238,"OF7926845591",05.05.2008,317,36
781,"QM2299501468",30.08.2007,739,69
527,"IB4261362290",16.02.2007,679,82
533,"VL7050066275",01.08.2007,573,85
704,"EB3202310146",12.12.2007,966,62
529,"NE0313227083",28.06.2006,640,34
595,"PX9389535928",16.04.2008,211,79
817,"IW1585720667",23.08.2006,821,41
763,"NC1635200312",07.11.2006,819,6
853,"PT1237245321",01.06.2007,595,79
847,"CC5291314753",24.06.2006,973,13
651,"TJ2517171939",13.09.2007,978,52
1176,"GV8948536720",03.03.2006,552,84
900,"BN9869489125",02.01.2006,254,23
847,"JN3240538952",29.08.2006,549,03
1020,"KX6133363231",25.03.2007,661,47
555,"RF4701538041",16.11.2006,772,98
993,"NG5939968146",29.05.2006,770,5
575,"MA5666251296",14.08.2007,575,55
652,"PJ5777330801",06.03.2006,231,72
1230,"FG9716687459",30.09.2006,517,7
1258,"VE5475262197",14.09.2006,719,46
814,"HY8041921530",01.04.2007,953,71
1147,"GA8790541898",16.12.2008,495,4
771,"WV3600744184",20.07.2007,935,26
990,"HI4782637435",23.08.2007,922,07
1287,"KR7729238992",15.01.2006,373,37
1139,"OQ6332639722",20.07.2008,322,39
873,"LK6290783437",23.10.2007,655,89
847,"MM0774355651",02.12.2007,247,91
562,"WW1717482001",28.05.2008,959,42
667,"FS0521782666",22.09.2006,347,21
1165,"AR2927811130",22.02.2008,766,54
973,"GZ4421895625",03.11.2006,655,28
1295,"GX8659950513",02.05.2007,653,98
815,"AI5157350796",04.02.2008,314,67
774,"OE1081790528",10.01.2006,702,58
960,"GH9853731106",21.12.2008,732,92
835,"EN0210584074",04.06.2007,345,29
910,"TA2449195398",15.07.2008,232,41
794,"OI3174595630",19.06.2008,968,04
783,"NS8857926033",03.03.2008,404,2
1266,"RY4716838431",13.05.2007,957,39
779,"TM7210098019",20.02.2008,493,01
734,"UT2910500999",15.12.2007,797,47
1161,"VV8700485283",09.01.2007,457,54
576,"VI6638808523",02.06.2007,312,47
890,"QY2108887506",19.09.2007,328,23
1080,"RQ5926174823",03.09.2008,671,46
943,"JT7073246313",04.09.2008,765,06
860,"DG3778975280",21.05.2006,577,76
873,"TJ9449100761",12.08.2008,557,54
623,"CD5201431771",27.10.2007,598,87
708,"YW0682519167",20.07.2008,451,99
1151,"CI4596890575",12.03.2007,510,91
814,"XZ2938109339",08.04.2006,793,99
799,"QV2202549596",11.07.2008,477,75
1149,"EC3977215400",16.05.2008,279,18
826,"YR0123531622",31.01.2006,514,88
779,"UT5112520159",08.10.2007,669,38
860,"XJ7621037950",01.10.2006,247,75
1222,"TQ5189773621",03.08.2006,501,67
942,"WM7661884590",28.12.2006,715,77
1145,"RP9484063205",07.06.2008,441,5
809,"IG5527981502",02.02.2006,946,33
865,"BK7820368319",20.01.2007,465,47
1127,"AW5293555969",04.08.2007,475,88
868,"YJ2204612371",25.01.2007,545,96
938,"FO4294383696",04.06.2007,781,73
1194,"DI7917261351",02.08.2007,804,91
527,"WT1932065059",14.03.2006,754,04
1226,"UB2732400040",15.06.2008,655,1
713,"RF5845291200",04.11.2007,534,25
1093,"XR0796972923",01.10.2008,503,61
1039,"XX2029665062",20.05.2007,526,71
1223,"YB0741026723",14.04.2007,606,28
864,"IW7254673434",10.03.2008,799,4
1124,"QA9249888713",29.12.2008,480,84
763,"AX8878397978",06.01.2008,281,08
1139,"IY1227631445",29.06.2008,962,27
1299,"DO8387503977",13.04.2008,984,94
705,"LC6475145079",11.12.2006,766,57
518,"RN2094164559",04.03.2006,993,72
1159,"DM0467644823",14.10.2007,366,32
795,"JB0492664686",02.08.2008,574,08
545,"OF3236950136",18.07.2008,927,04
518,"NJ3913922588",07.01.2007,807,05
742,"RZ5081023382",07.10.2006,653,83
1128,"NX6760356270",25.11.2007,967,64
646,"UQ2594375689",16.05.2007,803,64
1038,"CI1824427056",07.09.2006,615,3
1053,"NR4486322806",26.12.2008,484,22
1155,"CC1273220196",29.04.2008,817,97
855,"HB5157218369",05.03.2006,427,63
1049,"JP9696451633",08.09.2007,373,84
571,"SV9435194603",03.11.2006,854,13
619,"KV2597278264",19.08.2006,366,23
678,"JI2059943328",11.08.2007,573,07
1189,"VP1225531034",05.06.2006,943,2
506,"KK6918914657",11.01.2006,455,75
1203,"GL5123978296",13.09.2008,896,37
928,"FX1366592304",06.09.2007,810,72
971,"QO2216197364",13.11.2007,881,15
544,"VB1023274271",25.02.2006,641,61
634,"EW0891932094",29.09.2008,818,23
1128,"WT7498207414",18.04.2008,924,95
674,"LA4494622406",05.05.2006,994,4
991,"WD0446797510",02.08.2006,759,49
563,"UD2580588249",10.06.2007,491,55
761,"NP5431008905",17.01.2006,556,63
747,"BR2254593297",01.03.2007,863,51
826,"FZ4440832415",02.09.2008,818,87
913,"MJ5375239939",26.02.2006,904,18
1292,"XQ6016005931",15.01.2008,934,1
1107,"VK1399493008",07.06.2008,552,52
1233,"IP3792867171",05.12.2006,652,23
538,"HV9370242345",26.12.2007,716,84
723,"UJ7442721713",11.06.2006,755,32
1251,"QA5399775503",11.04.2007,916,5
516,"VT5124748856",18.10.2007,933,15
583,"NX9010884972",05.03.2006,386,41
761,"QH9639132367",14.01.2006,882,75
982,"JW9048229098",28.04.2008,919,26
923,"KN2921926109",13.02.2007,414,23
749,"FM6581257793",24.03.2007,680,84
1216,"OA2971301592",13.12.2007,714,5
501,"YW9920787575",08.04.2007,973,49
690,"JH0159449900",21.05.2008,746,59
796,"PV5429233549",20.09.2007,698,12
1168,"XL4725290410",16.05.2006,493,44
1114,"OZ3297264789",25.09.2006,716,28
1097,"ES4404271120",04.06.2008,844,49
1190,"PU7814466746",30.08.2006,701,3
1178,"IC3495254302",04.12.2007,817,24
835,"DJ6196565155",12.10.2008,632,17
1117,"OT5316854961",18.01.2007,556,49
1212,"IL9155878467",03.12.2006,882,66
902,"QV3637390005",24.12.2008,411,77
893,"EC8297642042",28.11.2006,336,47
1247,"SR7377116547",29.11.2007,806,25
782,"HX3401019154",30.12.2007,969,27
1111,"UD3879101586",04.02.2008,629,93
967,"OA5994237105",07.03.2007,931,03
889,"AG6443819788",11.07.2008,365,68
1229,"OB6732297668",20.03.2008,982,37
823,"NZ7342364294",06.05.2008,539,27
